order_id,customer_id,order_date,status,payment_method,subtotal,tax_amount,shipping_amount,discount_amount,total_amount,currency,shipping_country,shipping_city
ORD-1B906DB6,CUST-E04B384D,2023-02-12T00:00:00,delivered,paypal,364.43,69.24,0.0,18.22,415.45,EUR,DE,Meunier-sur-Chrétien
ORD-E4D6C234,CUST-47DCAE7D,2024-11-25T00:00:00,delivered,cash_on_delivery,226.09,42.96,0.0,11.3,257.75,EUR,IT,Limonta
ORD-BC7D45A7,CUST-4956466C,2024-09-03T00:00:00,delivered,bank_transfer,3045.76,639.61,0.0,152.29,3533.08,EUR,NL,Lugo
ORD-026FA18D,CUST-CE8588EB,2024-11-02T00:00:00,delivered,bank_transfer,31.46,5.98,9.05,0.0,46.49,EUR,FR,Badajoz
ORD-F0F9F872,CUST-B286BCD5,2024-10-09T00:00:00,delivered,paypal,117.49,22.32,0.0,0.0,139.81,EUR,GB,San Giovanni Di Baiano
ORD-B46811A8,CUST-DF0EB867,2023-12-02T00:00:00,delivered,debit_card,895.02,170.05,0.0,44.75,1020.32,EUR,DE,Samanthafort
ORD-26E5EE8B,CUST-E84E7C38,2023-10-18T00:00:00,delivered,bank_transfer,436.82,83.0,0.0,21.84,497.98,EUR,ES,Sebnitz
ORD-1C4A440D,CUST-D4EB2B12,2024-03-27T00:00:00,returned,credit_card,3571.59,750.03,0.0,178.58,4143.04,EUR,NL,Ostigliano
ORD-FB93E65E,CUST-83EEAE33,2023-03-26T00:00:00,delivered,debit_card,387.76,73.67,0.0,19.39,442.04,EUR,ES,Navarroview
ORD-AA03884A,CUST-51609BB9,2024-12-21T00:00:00,delivered,credit_card,740.63,140.72,0.0,37.03,844.32,EUR,DE,Girona
ORD-ADA31BDD,CUST-341CD980,2023-05-04T00:00:00,delivered,credit_card,213.32,40.53,0.0,10.67,243.18,EUR,DE,Mettmann
ORD-F44637D6,CUST-2668EFC1,2023-05-21T00:00:00,delivered,debit_card,5155.29,979.51,0.0,257.76,5877.04,EUR,GB,Łomża
ORD-807E09BD,CUST-7AFC6B9D,2023-05-24T00:00:00,delivered,credit_card,247.04,51.88,0.0,12.35,286.57,EUR,NL,New Marilyn
ORD-A148CBDF,CUST-20BBCB82,2024-09-06T00:00:00,delivered,credit_card,3448.9,655.29,0.0,172.45,3931.74,EUR,ES,Postalesio
ORD-C14DD119,CUST-DBDAA4EF,2024-08-31T00:00:00,delivered,bank_transfer,1340.43,254.68,0.0,67.02,1528.09,EUR,ES,South Denise
ORD-2A797785,CUST-703ABEE8,2023-06-26T00:00:00,delivered,credit_card,497.9,104.56,0.0,24.89,577.57,EUR,NL,Stevenside
ORD-0E533B79,CUST-4652C778,2024-06-02T00:00:00,delivered,debit_card,420.06,79.81,0.0,21.0,478.87,EUR,FR,Ferranddan
ORD-ED87C520,CUST-6B657029,2024-07-03T00:00:00,delivered,credit_card,265.44,50.43,0.0,13.27,302.6,EUR,IT,Vizcaya
ORD-8AA7EC79,CUST-6D9D52A0,2023-02-26T00:00:00,delivered,debit_card,3871.96,735.67,0.0,193.6,4414.03,EUR,PL,Maarheeze
ORD-0280C310,CUST-DE01C7F2,2023-10-03T00:00:00,delivered,cash_on_delivery,711.0,135.09,0.0,35.55,810.54,EUR,FR,Sosnowiec
ORD-821787B0,CUST-4CF62293,2023-11-22T00:00:00,delivered,bank_transfer,1411.83,268.25,0.0,70.59,1609.49,EUR,FR,Ebersberg
ORD-565C23C3,CUST-AC39DB31,2024-11-02T00:00:00,delivered,credit_card,62.88,11.95,0.0,0.0,74.83,EUR,DE,West Kayleigh
ORD-7B72BF2B,CUST-11B2B8E9,2024-04-21T00:00:00,delivered,paypal,18.26,3.47,7.37,0.0,29.1,EUR,ES,Wurzen
ORD-47872341,CUST-AC39DB31,2024-04-20T00:00:00,returned,paypal,626.43,119.02,0.0,31.32,714.13,EUR,DE,West Kayleigh
ORD-BA7EE394,CUST-969B770F,2023-09-01T00:00:00,cancelled,cash_on_delivery,12429.88,2361.68,0.0,621.49,14170.07,EUR,ES,Badajoz
ORD-7F10E6E8,CUST-CE808082,2024-11-09T00:00:00,delivered,paypal,205.28,43.11,0.0,10.26,238.13,EUR,NL,León
ORD-1AB0FCF6,CUST-0881C304,2023-08-28T00:00:00,delivered,paypal,5377.29,1021.69,0.0,268.86,6130.12,EUR,GB,West Andrea
ORD-83FD782F,CUST-779D6204,2023-04-03T00:00:00,delivered,credit_card,5133.68,975.4,0.0,256.68,5852.4,EUR,DE,Martineau
ORD-01EFCD5A,CUST-D92A6290,2023-06-28T00:00:00,delivered,credit_card,206.31,43.33,0.0,10.32,239.32,EUR,BE,Netersel
ORD-549CD7B2,CUST-D903B145,2023-05-14T00:00:00,delivered,debit_card,1212.3,254.58,0.0,60.62,1406.26,EUR,NL,Blackton
ORD-DBCABDF3,CUST-5B29E980,2023-05-12T00:00:00,delivered,bank_transfer,1601.27,304.24,0.0,80.06,1825.45,EUR,DE,Starnberg
ORD-290EC885,CUST-60396C41,2023-07-11T00:00:00,delivered,paypal,96.64,18.36,0.0,0.0,115.0,EUR,DE,Saint Michellenec
ORD-AFF1F5B0,CUST-3F5238D2,2024-05-05T00:00:00,delivered,debit_card,479.12,91.03,0.0,23.96,546.19,EUR,DE,Berchtesgaden
ORD-BF116AF7,CUST-9285ADA3,2023-01-20T00:00:00,delivered,cash_on_delivery,559.42,106.29,0.0,27.97,637.74,EUR,PT,Merseburg
ORD-6403F6AD,CUST-3CB47E2C,2023-10-15T00:00:00,returned,paypal,615.67,116.98,0.0,30.78,701.87,EUR,FR,Montefegatesi
ORD-38B4C4AF,CUST-E95A1BDA,2023-02-27T00:00:00,delivered,bank_transfer,5795.25,1101.1,0.0,289.76,6606.59,EUR,ES,Gratsch
ORD-EC86CB7F,CUST-4856ACE6,2024-05-17T00:00:00,delivered,paypal,571.1,108.51,0.0,28.56,651.05,EUR,FR,Damianview
ORD-07216292,CUST-E84E7C38,2023-03-02T00:00:00,delivered,bank_transfer,1599.79,303.96,0.0,79.99,1823.76,EUR,ES,Sebnitz
ORD-C3E7C2BF,CUST-4856ACE6,2024-12-25T00:00:00,delivered,cash_on_delivery,2544.8,483.51,0.0,127.24,2901.07,EUR,FR,Damianview
ORD-20DD2802,CUST-6D9D52A0,2023-11-22T00:00:00,cancelled,paypal,725.49,137.84,0.0,36.27,827.06,EUR,PL,Maarheeze
ORD-3DD06CBC,CUST-8031204E,2023-12-22T00:00:00,delivered,credit_card,945.57,179.66,0.0,47.28,1077.95,EUR,FR,Port Jaredborough
ORD-1EC312E4,CUST-79B00ACD,2024-03-05T00:00:00,delivered,cash_on_delivery,125.2,23.79,0.0,0.0,148.99,EUR,FR,Port Melanieton
ORD-CDC0863A,CUST-703ABEE8,2023-08-19T00:00:00,delivered,credit_card,687.02,144.27,0.0,34.35,796.94,EUR,NL,Stevenside
ORD-F6FFF085,CUST-6B85D0C3,2024-05-09T00:00:00,delivered,cash_on_delivery,1331.68,253.02,0.0,66.58,1518.12,EUR,FR,Fleringen
ORD-178034A4,CUST-79B00ACD,2024-07-07T00:00:00,delivered,bank_transfer,709.97,134.89,0.0,35.5,809.36,EUR,FR,Port Melanieton
ORD-6B762CB7,CUST-45435608,2023-01-04T00:00:00,delivered,bank_transfer,321.96,61.17,0.0,16.1,367.03,EUR,GB,Edwardsmouth
ORD-83ADC19A,CUST-9DBC092A,2024-02-12T00:00:00,delivered,paypal,329.25,62.56,0.0,16.46,375.35,EUR,IT,Riolo Terme
ORD-CC3EB2F8,CUST-F6EF7E94,2023-09-27T00:00:00,delivered,cash_on_delivery,5538.38,1052.29,0.0,276.92,6313.75,EUR,FR,Lake Nicoleview
ORD-6F55EA0C,CUST-98ACDDEA,2024-02-01T00:00:00,delivered,credit_card,1777.24,337.68,0.0,88.86,2026.06,EUR,FR,Steinfurt
ORD-1EAAF92A,CUST-5C767E48,2023-11-27T00:00:00,delivered,debit_card,290.63,55.22,0.0,14.53,331.32,EUR,IT,Renaud
ORD-DB7B05E5,CUST-A23B5CC4,2023-11-01T00:00:00,delivered,cash_on_delivery,380.43,72.28,0.0,19.02,433.69,EUR,FR,Skierniewice
ORD-E3CBEF6C,CUST-114AB28B,2023-04-26T00:00:00,delivered,cash_on_delivery,146.53,27.84,0.0,0.0,174.37,EUR,IT,Vaglio Basilicata
ORD-33553D94,CUST-F99164EE,2023-09-28T00:00:00,delivered,bank_transfer,3115.98,592.04,0.0,155.8,3552.22,EUR,FR,Fitzgeraldland
ORD-8C3C50B1,CUST-D9BB9C6E,2024-12-08T00:00:00,delivered,paypal,2249.29,427.37,0.0,112.46,2564.2,EUR,DE,Martinez
ORD-97D1EBAD,CUST-114AB28B,2024-09-11T00:00:00,delivered,paypal,89.0,16.91,0.0,0.0,105.91,EUR,IT,Vaglio Basilicata
ORD-9C4014D6,CUST-5C5BBC61,2023-06-12T00:00:00,delivered,credit_card,138.94,26.4,0.0,0.0,165.34,EUR,GB,Murcia
ORD-FE3E1C32,CUST-38D9A74B,2023-02-21T00:00:00,delivered,bank_transfer,653.28,124.12,0.0,32.66,744.74,EUR,IT,Azzone
ORD-6CE2D418,CUST-0B5CB358,2023-12-19T00:00:00,delivered,debit_card,1132.59,215.19,0.0,56.63,1291.15,EUR,DE,Moreno
ORD-9FB4E089,CUST-FA725128,2024-06-09T00:00:00,delivered,paypal,5373.83,1021.03,0.0,268.69,6126.17,EUR,FR,Smithland
ORD-5D132129,CUST-A8C48AEC,2023-12-24T00:00:00,delivered,credit_card,204.0,38.76,0.0,10.2,232.56,EUR,FR,Callumside
ORD-CCCEFE4D,CUST-E749A64E,2024-01-19T00:00:00,delivered,paypal,14.25,2.71,7.83,0.0,24.79,EUR,DE,Lucas
ORD-C1F5C797,CUST-0679E0D2,2024-10-29T00:00:00,delivered,bank_transfer,2688.65,510.84,0.0,134.43,3065.06,EUR,IT,Clusane
ORD-1341D111,CUST-E95A1BDA,2023-02-06T00:00:00,returned,debit_card,261.84,49.75,0.0,13.09,298.5,EUR,ES,Gratsch
ORD-F5D6BB63,CUST-852B5668,2023-07-05T00:00:00,delivered,paypal,427.6,81.24,0.0,21.38,487.46,EUR,IT,Kamerik
ORD-D12DA98C,CUST-0EC650D1,2024-01-16T00:00:00,delivered,debit_card,1490.25,283.15,0.0,74.51,1698.89,EUR,DE,Amandamouth
ORD-ADF8174D,CUST-4A231E23,2024-02-24T00:00:00,returned,debit_card,26.74,5.08,7.78,0.0,39.6,EUR,FR,BousquetBourg
ORD-1F1C9562,CUST-98ACDDEA,2023-01-05T00:00:00,delivered,bank_transfer,3585.68,681.28,0.0,179.28,4087.68,EUR,FR,Steinfurt
ORD-B158B8BB,CUST-72BF3874,2024-06-30T00:00:00,delivered,credit_card,176.25,33.49,0.0,0.0,209.74,EUR,ES,Delaunaydan
ORD-6CAD8441,CUST-ABB222B0,2023-09-12T00:00:00,delivered,debit_card,170.39,32.37,0.0,0.0,202.76,EUR,FR,Overdinkel
ORD-810222C8,CUST-F6EF7E94,2023-11-02T00:00:00,delivered,bank_transfer,78.06,14.83,0.0,0.0,92.89,EUR,FR,Lake Nicoleview
ORD-D71CA484,CUST-2C5C6332,2023-06-18T00:00:00,delivered,credit_card,386.2,81.1,0.0,19.31,447.99,EUR,NL,Treschietto
ORD-490BAC81,CUST-61AF4974,2023-05-07T00:00:00,delivered,credit_card,82.04,15.59,0.0,0.0,97.63,EUR,DE,Częstochowa
ORD-32282E45,CUST-6EE992F2,2024-11-08T00:00:00,delivered,cash_on_delivery,277.19,52.67,0.0,13.86,316.0,EUR,FR,Schwäbisch Hall
ORD-92D33F8D,CUST-9E4E7BAC,2023-06-06T00:00:00,delivered,paypal,425.3,80.81,0.0,21.27,484.84,EUR,IT,Mezzocammino
ORD-E2F1C3EA,CUST-9E4E7BAC,2023-05-21T00:00:00,delivered,paypal,380.77,72.35,0.0,19.04,434.08,EUR,IT,Mezzocammino
ORD-0F294AC5,CUST-C64B3B0E,2024-11-02T00:00:00,delivered,paypal,674.19,128.1,0.0,33.71,768.58,EUR,DE,Beverwijk
ORD-5F76952B,CUST-38D9A74B,2023-10-31T00:00:00,delivered,paypal,4283.95,813.95,0.0,214.2,4883.7,EUR,IT,Azzone
ORD-25D676C3,CUST-2B5100B0,2024-09-28T00:00:00,delivered,bank_transfer,57.08,11.99,0.0,0.0,69.07,EUR,NL,Meppen
ORD-4FE3D88D,CUST-1E5BDCF5,2024-12-07T00:00:00,delivered,credit_card,2777.2,527.67,0.0,138.86,3166.01,EUR,DE,Viersen
ORD-3FD8014D,CUST-77846E82,2024-05-09T00:00:00,delivered,debit_card,1160.08,220.42,0.0,58.0,1322.5,EUR,FR,Eibergen
ORD-E18B59AD,CUST-DF0EB867,2023-04-26T00:00:00,delivered,debit_card,2704.21,513.8,0.0,135.21,3082.8,EUR,DE,Samanthafort
ORD-5D52DEE2,CUST-0D1BDE05,2023-12-13T00:00:00,delivered,debit_card,634.38,120.53,0.0,31.72,723.19,EUR,DE,West Stevenchester
ORD-6B2385D8,CUST-852B5668,2024-09-19T00:00:00,delivered,credit_card,262.62,49.9,0.0,13.13,299.39,EUR,IT,Kamerik
ORD-F521BC5A,CUST-E84E7C38,2023-09-04T00:00:00,delivered,cash_on_delivery,273.84,52.03,0.0,13.69,312.18,EUR,ES,Sebnitz
ORD-E8B72063,CUST-5AF86105,2024-04-02T00:00:00,returned,cash_on_delivery,1020.65,214.34,0.0,51.03,1183.96,EUR,NL,Calau
ORD-257D7AD1,CUST-EE76891E,2024-11-18T00:00:00,delivered,credit_card,175.89,33.42,0.0,0.0,209.31,EUR,FR,Main-Höchst
ORD-FEE67E34,CUST-DBDAA4EF,2023-10-26T00:00:00,delivered,bank_transfer,1391.25,264.34,0.0,69.56,1586.03,EUR,ES,South Denise
ORD-848B6A89,CUST-6B85D0C3,2023-07-20T00:00:00,cancelled,bank_transfer,46.56,8.85,4.64,0.0,60.05,EUR,FR,Fleringen
ORD-A0BAC8EB,CUST-DBDAA4EF,2024-11-19T00:00:00,delivered,cash_on_delivery,962.87,182.95,0.0,48.14,1097.68,EUR,ES,South Denise
ORD-EDD780F7,CUST-1A3E024D,2024-05-09T00:00:00,delivered,bank_transfer,3160.3,600.46,0.0,158.02,3602.74,EUR,FR,Broek in Waterland
ORD-09D183E5,CUST-6D9D52A0,2024-12-10T00:00:00,delivered,paypal,2083.19,395.81,0.0,104.16,2374.84,EUR,PL,Maarheeze
ORD-AF464C3A,CUST-BCD94AB8,2023-05-16T00:00:00,cancelled,bank_transfer,181.45,34.48,0.0,0.0,215.93,EUR,DE,Sondershausen
ORD-B30DA2BF,CUST-82407059,2023-10-20T00:00:00,delivered,debit_card,140.55,26.7,0.0,0.0,167.25,EUR,PL,Étienne
ORD-FE237F29,CUST-D4EB2B12,2023-10-21T00:00:00,delivered,paypal,64.99,13.65,0.0,0.0,78.64,EUR,NL,Ostigliano
ORD-AC5AEB9E,CUST-5F590A06,2024-09-22T00:00:00,delivered,paypal,993.18,208.57,0.0,49.66,1152.09,EUR,BE,Piotrków Trybunalski
ORD-F719001B,CUST-AAEF10C9,2023-12-14T00:00:00,delivered,cash_on_delivery,671.92,141.1,0.0,33.6,779.42,EUR,NL,Police
ORD-F4EA5830,CUST-F6EF7E94,2024-03-14T00:00:00,delivered,debit_card,67.7,12.86,0.0,0.0,80.56,EUR,FR,Lake Nicoleview
ORD-5F7DC8A7,CUST-E84E7C38,2024-09-03T00:00:00,cancelled,paypal,125.49,23.84,0.0,0.0,149.33,EUR,ES,Sebnitz
ORD-0322ECB4,CUST-5D730253,2024-06-17T00:00:00,delivered,paypal,239.41,45.49,0.0,11.97,272.93,EUR,PT,Siemianowice Śląskie
ORD-C3503E3D,CUST-E04B384D,2024-09-25T00:00:00,returned,paypal,4241.02,805.79,0.0,212.05,4834.76,EUR,DE,Meunier-sur-Chrétien
ORD-DC50823A,CUST-4CF62293,2024-01-31T00:00:00,delivered,cash_on_delivery,204.0,38.76,0.0,10.2,232.56,EUR,FR,Ebersberg
ORD-F60E39B5,CUST-F6EF7E94,2023-11-30T00:00:00,cancelled,debit_card,67.36,12.8,0.0,0.0,80.16,EUR,FR,Lake Nicoleview
ORD-A7604565,CUST-3CB47E2C,2023-08-07T00:00:00,delivered,debit_card,94.99,18.05,0.0,0.0,113.04,EUR,FR,Montefegatesi
ORD-B4758B76,CUST-0679E0D2,2023-12-06T00:00:00,delivered,debit_card,135.4,25.73,0.0,0.0,161.13,EUR,IT,Clusane
ORD-A0796587,CUST-7592940F,2024-02-02T00:00:00,delivered,cash_on_delivery,426.64,81.06,0.0,21.33,486.37,EUR,DE,Rudolstadt
ORD-7D41C202,CUST-DE01C7F2,2024-08-22T00:00:00,delivered,paypal,94.34,17.92,0.0,0.0,112.26,EUR,FR,Sosnowiec
ORD-83BD5C93,CUST-F304AE45,2024-03-24T00:00:00,delivered,cash_on_delivery,2323.07,441.38,0.0,116.15,2648.3,EUR,GB,Palencia
ORD-AB1A98EA,CUST-DBDAA4EF,2023-05-28T00:00:00,delivered,bank_transfer,2227.02,423.13,0.0,111.35,2538.8,EUR,ES,South Denise
ORD-0246F035,CUST-5A094D58,2023-05-26T00:00:00,delivered,cash_on_delivery,7826.13,1486.96,0.0,391.31,8921.78,EUR,AT,Viechtach
ORD-BED41B7A,CUST-C32018D1,2023-03-10T00:00:00,delivered,debit_card,639.18,134.23,0.0,31.96,741.45,EUR,NL,San Daniele Po
ORD-0C02D536,CUST-D9C2E36A,2023-12-03T00:00:00,delivered,debit_card,2623.28,498.42,0.0,131.16,2990.54,EUR,FR,Kitzingen
ORD-74D22034,CUST-799F992F,2024-03-22T00:00:00,delivered,debit_card,151.67,28.82,0.0,0.0,180.49,EUR,GB,Segovia
ORD-03B113CD,CUST-96EE0147,2023-11-15T00:00:00,delivered,bank_transfer,2474.13,470.08,0.0,123.71,2820.5,EUR,ES,Chorzów
ORD-79772438,CUST-D565CE8E,2024-01-10T00:00:00,delivered,debit_card,463.63,88.09,0.0,23.18,528.54,EUR,GB,Loënga
ORD-CC86EA0C,CUST-506F6C71,2024-12-01T00:00:00,delivered,bank_transfer,8245.64,1566.67,0.0,412.28,9400.03,EUR,DE,Haleymouth
ORD-EE2E0F34,CUST-790D6660,2023-12-13T00:00:00,delivered,bank_transfer,43.66,8.3,6.32,0.0,58.28,EUR,FR,Lake Joshua
ORD-83551F67,CUST-790D6660,2024-10-26T00:00:00,delivered,paypal,160.12,30.42,0.0,0.0,190.54,EUR,FR,Lake Joshua
ORD-11A23082,CUST-DA49B00B,2024-06-13T00:00:00,returned,bank_transfer,90.93,17.28,0.0,0.0,108.21,EUR,GB,Sieradz
ORD-A3B11139,CUST-6D9D52A0,2023-01-07T00:00:00,delivered,debit_card,1681.2,319.43,0.0,84.06,1916.57,EUR,PL,Maarheeze
ORD-BC84EE73,CUST-45435608,2024-09-08T00:00:00,delivered,bank_transfer,118.28,22.47,0.0,0.0,140.75,EUR,GB,Edwardsmouth
ORD-B8840E53,CUST-77846E82,2023-06-15T00:00:00,delivered,credit_card,1755.13,333.47,0.0,87.76,2000.84,EUR,FR,Eibergen
ORD-53744749,CUST-DD9C5570,2023-02-27T00:00:00,cancelled,paypal,820.05,155.81,0.0,41.0,934.86,EUR,FR,Sömmerda
ORD-9C5E1E19,CUST-D4E8C672,2024-04-04T00:00:00,delivered,paypal,151.3,28.75,0.0,0.0,180.05,EUR,DE,Hersbruck
ORD-A79B0FCD,CUST-703ABEE8,2023-12-17T00:00:00,delivered,cash_on_delivery,126.5,26.56,0.0,0.0,153.06,EUR,NL,Stevenside
ORD-AB43B1CC,CUST-8DBE2CEB,2024-12-01T00:00:00,delivered,cash_on_delivery,350.16,66.53,0.0,17.51,399.18,EUR,FR,Almería
ORD-0A6070DC,CUST-779D6204,2023-04-06T00:00:00,delivered,cash_on_delivery,1139.39,216.48,0.0,56.97,1298.9,EUR,DE,Martineau
ORD-9EE5969C,CUST-C63D88CF,2024-01-26T00:00:00,delivered,cash_on_delivery,1057.67,200.96,0.0,52.88,1205.75,EUR,GB,Bolano
ORD-A1115075,CUST-3AAF40DB,2023-01-08T00:00:00,delivered,paypal,661.7,125.72,0.0,33.09,754.33,EUR,DE,Przemyśl
ORD-3458D97E,CUST-4652C778,2023-07-28T00:00:00,delivered,bank_transfer,715.95,136.03,0.0,35.8,816.18,EUR,FR,Ferranddan
ORD-0AAE5637,CUST-E749A64E,2023-05-02T00:00:00,delivered,credit_card,1545.61,293.67,0.0,77.28,1762.0,EUR,DE,Lucas
ORD-6EFA4777,CUST-DBDAA4EF,2023-01-06T00:00:00,delivered,bank_transfer,1318.32,250.48,0.0,65.92,1502.88,EUR,ES,South Denise
ORD-401B2819,CUST-3AAF40DB,2023-10-21T00:00:00,delivered,cash_on_delivery,2841.49,539.88,0.0,142.07,3239.3,EUR,DE,Przemyśl
ORD-C222932D,CUST-72BF3874,2024-01-04T00:00:00,delivered,bank_transfer,452.43,85.96,0.0,22.62,515.77,EUR,ES,Delaunaydan
ORD-78F184D0,CUST-095757A7,2024-06-14T00:00:00,delivered,bank_transfer,1096.87,208.41,0.0,54.84,1250.44,EUR,FR,Loceri
ORD-CBC665A5,CUST-DA2A7A09,2023-03-16T00:00:00,delivered,cash_on_delivery,177.52,33.73,0.0,0.0,211.25,EUR,FR,Paul
ORD-22AA26F5,CUST-2B5100B0,2024-01-22T00:00:00,delivered,debit_card,62.26,13.07,0.0,0.0,75.33,EUR,NL,Meppen
ORD-940655CA,CUST-0400BA80,2023-11-20T00:00:00,delivered,bank_transfer,241.85,45.95,0.0,12.09,275.71,EUR,DE,Puławy
ORD-B35BA4E9,CUST-60396C41,2024-08-10T00:00:00,cancelled,debit_card,287.97,54.71,0.0,14.4,328.28,EUR,DE,Saint Michellenec
ORD-1BE0E41D,CUST-AC39DB31,2024-09-25T00:00:00,delivered,cash_on_delivery,561.92,106.76,0.0,28.1,640.58,EUR,DE,West Kayleigh
ORD-F9F8A9F7,CUST-9285ADA3,2023-12-13T00:00:00,delivered,debit_card,4468.03,848.93,0.0,223.4,5093.56,EUR,PT,Merseburg
ORD-697ABBD8,CUST-779D6204,2024-12-16T00:00:00,delivered,cash_on_delivery,20.96,3.98,5.94,0.0,30.88,EUR,DE,Martineau
ORD-B165D6AC,CUST-2BF8527C,2024-07-15T00:00:00,delivered,debit_card,3654.16,767.37,0.0,182.71,4238.82,EUR,BE,Weber
ORD-A52A83ED,CUST-A8C48AEC,2023-07-20T00:00:00,cancelled,cash_on_delivery,888.01,168.72,0.0,44.4,1012.33,EUR,FR,Callumside
ORD-E7DAD41B,CUST-ABCD263E,2024-05-13T00:00:00,delivered,bank_transfer,423.29,80.43,0.0,21.16,482.56,EUR,ES,Terschuur
ORD-065D04EC,CUST-D92A6290,2024-01-05T00:00:00,delivered,paypal,1738.89,365.17,0.0,86.94,2017.12,EUR,BE,Netersel
ORD-D042A809,CUST-BCD94AB8,2024-06-06T00:00:00,delivered,credit_card,523.26,99.42,0.0,26.16,596.52,EUR,DE,Sondershausen
ORD-98519281,CUST-0400BA80,2023-11-18T00:00:00,delivered,paypal,205.78,39.1,0.0,10.29,234.59,EUR,DE,Puławy
ORD-8DD9999A,CUST-3AAF40DB,2024-04-06T00:00:00,delivered,credit_card,77.24,14.68,0.0,0.0,91.92,EUR,DE,Przemyśl
ORD-4AABD3FC,CUST-376072C1,2023-04-16T00:00:00,cancelled,debit_card,8067.36,1532.8,0.0,403.37,9196.79,EUR,FR,East Charleston
ORD-B769FB2A,CUST-1E5BDCF5,2023-11-13T00:00:00,delivered,bank_transfer,3046.67,578.87,0.0,152.33,3473.21,EUR,DE,Viersen
ORD-FA9C4D2D,CUST-9285ADA3,2023-10-06T00:00:00,delivered,debit_card,6222.66,1182.31,0.0,311.13,7093.84,EUR,PT,Merseburg
ORD-7BB97E6E,CUST-67961CA8,2023-11-12T00:00:00,delivered,debit_card,1111.24,211.14,0.0,55.56,1266.82,EUR,ES,Rastatt
ORD-53ACAAAE,CUST-D10F38E8,2024-07-01T00:00:00,cancelled,bank_transfer,1063.62,202.09,0.0,53.18,1212.53,EUR,GB,Badoberan
ORD-82E43DB6,CUST-4477EAB3,2023-09-27T00:00:00,delivered,bank_transfer,137.52,26.13,0.0,0.0,163.65,EUR,FR,Homoet
ORD-63490089,CUST-5F4B0AB4,2023-07-06T00:00:00,delivered,credit_card,1035.42,196.73,0.0,51.77,1180.38,EUR,FR,Vasseur-sur-Robert
ORD-B870E6EC,CUST-ED7CFAB0,2023-10-16T00:00:00,delivered,credit_card,1623.33,340.9,0.0,81.17,1883.06,EUR,NL,León
ORD-C031B2EA,CUST-E04B384D,2023-05-30T00:00:00,delivered,paypal,87.54,16.63,0.0,0.0,104.17,EUR,DE,Meunier-sur-Chrétien
ORD-E23C9719,CUST-556E1171,2023-05-05T00:00:00,delivered,paypal,1149.19,218.35,0.0,57.46,1310.08,EUR,FR,Jaymouth
ORD-7E57D4BB,CUST-6EE992F2,2024-11-13T00:00:00,delivered,credit_card,946.76,179.88,0.0,47.34,1079.3,EUR,FR,Schwäbisch Hall
ORD-D8D95AC9,CUST-2CC4D07F,2024-12-08T00:00:00,delivered,cash_on_delivery,322.52,61.28,0.0,16.13,367.67,EUR,FR,Greenmouth
ORD-3F4F9BDD,CUST-B4599354,2024-10-02T00:00:00,delivered,paypal,400.9,76.17,0.0,20.05,457.02,EUR,FR,Moordrecht
ORD-8E9A5FC3,CUST-D35E92F8,2023-12-22T00:00:00,delivered,credit_card,20.44,3.88,5.49,0.0,29.81,EUR,ES,Ourense
ORD-ED59D62F,CUST-2B5100B0,2024-07-26T00:00:00,delivered,bank_transfer,2979.4,625.67,0.0,148.97,3456.1,EUR,NL,Meppen
